Description,Designator,Footprint,Comment,Quantity
,,,,
ADP122-3.3,A1,UJ-5,,1
ADP122-3.3,A3,UJ-5,,1
ADS1298,ADC1,PAG64,,1
Polarized Capacitor (Surface Mount),CP1,CC2012-0805,10u,1
Capacitor (Semiconductor SIM Model),CP2,CC1005-0402,100n,1
Capacitor (Semiconductor SIM Model),CP3,CC1005-0402,100n,1
Capacitor (Semiconductor SIM Model),CP6,CC1005-0402,470n,1
Capacitor (Semiconductor SIM Model),CP17,CC1005-0402,1u,1
Capacitor (Semiconductor SIM Model),CP18,CC1005-0402,1u,1
Capacitor (Semiconductor SIM Model),CP25,CC1005-0402,100n,1
Capacitor (Semiconductor SIM Model),CP26,CC1005-0402,1u,1
Capacitor (Semiconductor SIM Model),CP27,CC1005-0402,100n,1
Capacitor (Semiconductor SIM Model),CP28,CC1005-0402,1u,1
Capacitor (Semiconductor SIM Model),CP29,CC1005-0402,470n,1
Capacitor (Semiconductor SIM Model),CP30,CC1005-0402,470n,1
Capacitor (Semiconductor SIM Model),CP31,CC1005-0402,470n,1
Capacitor (Semiconductor SIM Model),CP32,CC1005-0402,470n,1
Capacitor (Semiconductor SIM Model),CP33,CC1005-0402,470n,1
Capacitor (Semiconductor SIM Model),CP34,CC1005-0402,470n,1
Capacitor (Semiconductor SIM Model),CP35,CC1005-0402,470n,1
Capacitor (Semiconductor SIM Model),CP36,CC1005-0402,470n,1
Polarized Capacitor (Surface Mount),CP37,CC1608-0603,22uF,1
Capacitor (Semiconductor SIM Model),CP38,CC1005-0402,1u,1
Capacitor (Semiconductor SIM Model),CP39,CC1005-0402,1u,1
Capacitor (Semiconductor SIM Model),CP40,CC1005-0402,100n,1
Capacitor (Semiconductor SIM Model),CP41,CC1005-0402,1u,1
Capacitor (Semiconductor SIM Model),CP42,CC1005-0402,100p,1
Polarized Capacitor (Surface Mount),CP43,CC2012-0805,10uF,1
Capacitor (Semiconductor SIM Model),CP44,CC1005-0402,100n,1
Capacitor (Semiconductor SIM Model),CP45,CC1005-0402,100n,1
Polarized Capacitor (Surface Mount),CP46,CC2012-0805,10u,1
Capacitor (Semiconductor SIM Model),CP47,CC1005-0402,100n,1
Polarized Capacitor (Surface Mount),CP48,CC2012-0805,10u,1
Capacitor (Semiconductor SIM Model),CP49,CC1005-0402,100n,1
Polarized Capacitor (Surface Mount),CP50,CC2012-0805,10u,1
Capacitor (Semiconductor SIM Model),CP51,CC1005-0402,100n,1
Capacitor (Semiconductor SIM Model),CP51_TANT,CC3216-1206,1u,1
Polarized Capacitor (Surface Mount),CP52,CC2012-0805,10u,1
Capacitor (Semiconductor SIM Model),CP55,CC1005-0402,1u,1
Capacitor (Semiconductor SIM Model),CP56,CC1005-0402,1u,1
"Header, 3-Pin",JPV,HDR1X3,JPV,1
ADuM2401,O1A,RW-16,,1
ADuM2401,O1B,RW-16,,1
ADUM6000,O2,RW-16,,1
"Header, 10-Pin, Dual row",P1,HDR2X10,Header 10X2,1
"Header, 8-Pin",P3,HDR1X8,Dx UP,1
"Header, 8-Pin",P4,HDR1X8,Dx DOWN,1
"Header, 8-Pin",P5,HDR1X8,Sx UP,1
"Header, 6-Pin",P6,HDR1X6,Sx DOWN,1
"Header, 6-Pin",P7A,HDR1X6,ADCext1,1
"Header, 4-Pin",P7B,HDR1X4,ADCext1,1
Semiconductor Resistor,R1,CR1608-0603,8.2K,1
Semiconductor Resistor,R2,CR1005-0402,56K,1
Semiconductor Resistor,R3,CR1005-0402,18K,1
Semiconductor Resistor,R4,CR1005-0402,33K,1
Semiconductor Resistor,R8,CR1005-0402,2.2K,1
Semiconductor Resistor,R9,CR1005-0402,2.2K,1
Semiconductor Resistor,R10,CR1005-0402,2.2K,1
Semiconductor Resistor,R11,CR1005-0402,2.2K,1
Semiconductor Resistor,R12,CR1005-0402,2.2K,1
Semiconductor Resistor,R13,CR1005-0402,2.2K,1
Semiconductor Resistor,R14,CR1005-0402,2.2K,1
Semiconductor Resistor,R15,CR1005-0402,2.2K,1
Semiconductor Resistor,R16,CR1608-0603,220,1
Semiconductor Resistor,R17,CR1608-0603,220,1
Semiconductor Resistor,R18,CR1608-0603,220,1
Semiconductor Resistor,R19,CR1608-0603,220,1
Semiconductor Resistor,R20,CR1608-0603,220,1
Semiconductor Resistor,R21,CR1608-0603,220,1
Semiconductor Resistor,R22,CR1608-0603,220,1
Semiconductor Resistor,R23,CR1608-0603,220,1
Semiconductor Resistor,R25,CR1005-0402,0,1
Semiconductor Resistor,R27,CR1005-0402,0,1
Semiconductor Resistor,R28,CR1005-0402,10K,1
Semiconductor Resistor,R29,CR1005-0402,10K,1
Semiconductor Resistor,R30,CR1005-0402,10K,1
Semiconductor Resistor,RDAISY_IN,CR1005-0402,10K,1
ADR433,REF3V,RM-8,,1
Semiconductor Resistor,RR,CR1005-0402,2.2K,1
OPA378AIDBVT,U2,SOT23-5DVB,,1
