Description,Designator,Comment,Footprint,Quantity
,,,,
ADS1298,ADC1,,PAG64,1
Capacitor (Semiconductor SIM Model),CP1,100n,CC1005-0402,1
Capacitor (Semiconductor SIM Model),CP2,1u,CC1005-0402,1
Capacitor (Semiconductor SIM Model),CP3,100n,CC1005-0402,1
Capacitor (Semiconductor SIM Model),CP4,1u,CC1005-0402,1
Polarized Capacitor (Surface Mount),CP5,22uF,CC1608-0603,1
Capacitor (Semiconductor SIM Model),CP6,1u,CC1005-0402,1
Capacitor (Semiconductor SIM Model),CP7,1u,CC1005-0402,1
Capacitor (Semiconductor SIM Model),CP8,100n,CC1005-0402,1
Capacitor (Semiconductor SIM Model),CP9,1u,CC1005-0402,1
Capacitor (Semiconductor SIM Model),CP10,100p,CC1005-0402,1
Polarized Capacitor (Surface Mount),CP11,10uF,CC2012-0805,1
Capacitor (Semiconductor SIM Model),CP12,100n,CC1005-0402,1
Capacitor (Semiconductor SIM Model),CP13,47n,CC1005-0402,1
Capacitor (Semiconductor SIM Model),CP14,47n,CC1005-0402,1
Capacitor (Semiconductor SIM Model),CP15,47n,CC1005-0402,1
Capacitor (Semiconductor SIM Model),CP16,47n,CC1005-0402,1
Capacitor (Semiconductor SIM Model),CP17,47n,CC1005-0402,1
Capacitor (Semiconductor SIM Model),CP18,47n,CC1005-0402,1
Capacitor (Semiconductor SIM Model),CP19,47n,CC1005-0402,1
Capacitor (Semiconductor SIM Model),CP20,47n,CC1005-0402,1
"Header, 8-Pin, Dual row",P1,Header 8X2,HDR2X8,1
"Header, 6-Pin",P2A,ADCext1,HDR1X6,1
"Header, 4-Pin",P2B,ADCext1,HDR1X4,1
"Header, 6-Pin",P3A,ADCext2,HDR1X6,1
"Header, 4-Pin",P3B,ADCext2,HDR1X4,1
Semiconductor Resistor,R1,2.2K,CR1005-0402,1
Semiconductor Resistor,R2,2.2K,CR1005-0402,1
Semiconductor Resistor,R3,2.2K,CR1005-0402,1
Semiconductor Resistor,R4,2.2K,CR1005-0402,1
Semiconductor Resistor,R5,2.2K,CR1005-0402,1
Semiconductor Resistor,R6,2.2K,CR1005-0402,1
Semiconductor Resistor,R7,2.2K,CR1005-0402,1
Semiconductor Resistor,R8,2.2K,CR1005-0402,1
Semiconductor Resistor,R13,220,CR1608-0603,1
Semiconductor Resistor,R14,220,CR1608-0603,1
Semiconductor Resistor,R15,220,CR1608-0603,1
Semiconductor Resistor,R16,220,CR1608-0603,1
Semiconductor Resistor,R17,220,CR1608-0603,1
Semiconductor Resistor,R18,220,CR1608-0603,1
Semiconductor Resistor,R19,220,CR1608-0603,1
Semiconductor Resistor,R20,220,CR1608-0603,1
Semiconductor Resistor,RDAISY_IN,10K,CR1005-0402,1
